task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	6a/25515b	93272	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Chihuahua)	CACHED	0	2022-08-02 06:11:43.716	977ms	17ms	47.1%	0	0	93.1 KB	892 B
6	53/8943bb	93733	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Zacatecas)	CACHED	0	2022-08-02 06:11:45.602	820ms	9ms	133.3%	2.9 MB	3.9 MB	93 KB	875 B
2	b5/9e14ed	94151	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE (metadata.tsv)	COMPLETED	0	2022-08-02 06:13:41.856	1.2s	0ms	144.7%	26.3 MB	509.3 MB	5.8 MB	1.1 KB
4	91/7c67be	94405	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Adobera_pasteurizada)	COMPLETED	0	2022-08-02 06:13:43.070	775ms	17ms	66.7%	2.9 MB	3.9 MB	93.1 KB	874 B
1	1e/17f2d7	94639	NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL (metadata.tsv)	COMPLETED	0	2022-08-02 06:13:43.864	1s	0ms	150.0%	31.4 MB	514.1 MB	5.8 MB	1.1 KB
5	d0/4a1b9b	94878	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Adobera_artesanal)	COMPLETED	0	2022-08-02 06:13:44.911	878ms	14ms	80.0%	0	0	93.1 KB	874 B
10	0e/2ca7d9	95076	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Chihuahua)	COMPLETED	0	2022-08-02 06:13:45.798	5.7s	4s	166.5%	192.6 MB	3.8 GB	20.1 MB	2.5 MB
8	5c/b7c151	95514	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Zacatecas)	COMPLETED	0	2022-08-02 06:13:51.522	1.2s	1s	77.6%	5 MB	13.4 MB	3.5 MB	77.9 KB
11	59/d285ff	95760	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Chihuahua)	COMPLETED	0	2022-08-02 06:13:52.679	950ms	0ms	113.1%	11.7 MB	16.5 MB	3.5 MB	77.4 KB
9	38/68b073	95987	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Zacatecas)	COMPLETED	0	2022-08-02 06:13:53.637	5.5s	3s	217.8%	200.5 MB	3.8 GB	20 MB	2.4 MB
12	ed/ca66ef	96420	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Adobera_pasteurizada)	COMPLETED	0	2022-08-02 06:13:59.098	5.6s	4s	194.6%	200.7 MB	3.8 GB	20 MB	2.5 MB
13	39/2495f5	96856	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Adobera_pasteurizada)	COMPLETED	0	2022-08-02 06:14:04.714	1s	0ms	113.8%	11.1 MB	16.2 MB	3.5 MB	75.1 KB
15	65/bf3724	97091	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Adobera_artesanal)	COMPLETED	0	2022-08-02 06:14:05.759	4.6s	2s	237.1%	195.6 MB	3.8 GB	20 MB	2.4 MB
14	44/f7cdb3	97462	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Adobera_artesanal)	COMPLETED	0	2022-08-02 06:14:10.381	1s	1s	109.4%	11 MB	16.2 MB	3.5 MB	77.9 KB
16	8f/71afc5	97701	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (Zacatecas)	COMPLETED	0	2022-08-02 06:14:11.433	11.4s	11s	107.3%	626.1 MB	1.2 GB	35.7 MB	6.4 KB
17	72/f3ea20	98188	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (Chihuahua)	COMPLETED	0	2022-08-02 06:14:22.881	12.9s	12s	106.0%	626 MB	1.1 GB	35.7 MB	6.2 KB
18	48/d9ce16	98684	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (Adobera_pasteurizada)	COMPLETED	0	2022-08-02 06:14:35.832	12.6s	12s	106.2%	615.2 MB	1.1 GB	35.7 MB	5.7 KB
19	de/9179d4	99181	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (Adobera_artesanal)	COMPLETED	0	2022-08-02 06:14:48.402	12s	12s	106.3%	625.9 MB	1.1 GB	35.7 MB	5.7 KB
21	4b/a55ff8	99677	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_QUALITY (single_end)	COMPLETED	0	2022-08-02 06:15:00.431	18.2s	18s	104.8%	1.2 GB	2.4 GB	37.9 MB	1.4 MB
20	91/ddb78d	100238	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY (cutadapt_standard)	COMPLETED	0	2022-08-02 06:15:18.669	1.8s	0ms	61.5%	4.7 MB	29.9 MB	400.9 KB	611 B
24	f7/9d564b	100471	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (SRR3307076)	COMPLETED	0	2022-08-02 06:15:20.474	12.8s	12s	104.1%	625.6 MB	1.1 GB	36.1 MB	193.4 KB
23	4f/b6d1fb	100963	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (SRR3307079)	COMPLETED	0	2022-08-02 06:15:33.288	12.7s	12s	103.8%	625.7 MB	1.2 GB	36.1 MB	198.9 KB
22	ea/66b5fa	101488	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (SRR3307078)	COMPLETED	0	2022-08-02 06:15:46.032	12.3s	12s	103.9%	626.3 MB	1.4 GB	36.1 MB	210.4 KB
25	9d/f45263	101989	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (SRR3307077)	COMPLETED	0	2022-08-02 06:15:58.351	12.7s	12s	103.7%	625.8 MB	1.2 GB	36.1 MB	199.6 KB
26	38/9680a6	102487	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_MERGE (cutadapt_standard_summary.tsv)	COMPLETED	0	2022-08-02 06:16:11.052	687ms	0ms	80.0%	0	0	44.3 KB	410 B
27	23/80da9c	102689	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (SRR3307076)	COMPLETED	0	2022-08-02 06:16:11.744	11.3s	10s	104.7%	626.8 MB	1.2 GB	35.7 MB	11.1 KB
3	fc/26e7c3	103179	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	COMPLETED	0	2022-08-02 06:16:23.068	5.8s	5s	180.0%	7 MB	13.3 MB	782.4 MB	1.3 GB
28	49/775464	103887	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (SRR3307079)	COMPLETED	0	2022-08-02 06:16:28.836	11s	10s	104.3%	585.7 MB	1.1 GB	35.7 MB	8.8 KB
29	72/79b7a8	104393	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (SRR3307078)	COMPLETED	0	2022-08-02 06:16:39.860	11s	10s	104.2%	602.8 MB	1.1 GB	35.7 MB	12.8 KB
30	87/babdfd	104922	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (SRR3307077)	COMPLETED	0	2022-08-02 06:16:50.867	11s	10s	104.8%	627 MB	1.4 GB	35.7 MB	12 KB
31	5b/efe4bc	105419	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (SRR3307076)	COMPLETED	0	2022-08-02 06:17:01.915	10.3s	10s	104.7%	548.4 MB	1.1 GB	35.7 MB	1.1 KB
32	d3/197a90	105886	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (SRR3307079)	COMPLETED	0	2022-08-02 06:17:12.264	10.1s	10s	104.8%	625.6 MB	1.4 GB	35.7 MB	1.2 KB
33	71/334334	106389	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (SRR3307078)	COMPLETED	0	2022-08-02 06:17:22.408	9.9s	10s	104.5%	494.7 MB	1 GB	35.7 MB	1.2 KB
34	48/7bd9bc	106847	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (SRR3307077)	COMPLETED	0	2022-08-02 06:17:32.301	9.7s	9s	105.2%	495 MB	1 GB	35.7 MB	1.1 KB
