	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Adobera_artesanal	Adobera_pasteurizada	humid subtropical	humid subtropical	0.8064516129032258
1	Adobera_pasteurizada	Zacatecas	humid subtropical	tropical and subtropical steppe	0.41935483870967744
2	Adobera_pasteurizada	Chihuahua	humid subtropical	tropical and subtropical steppe	0.4838709677419355
3	Adobera_artesanal	Zacatecas	humid subtropical	tropical and subtropical steppe	0.6774193548387096
4	Adobera_artesanal	Chihuahua	humid subtropical	tropical and subtropical steppe	0.8064516129032258
0	Chihuahua	Zacatecas	tropical and subtropical steppe	tropical and subtropical steppe	0.1935483870967742
1	Zacatecas	Adobera_pasteurizada	tropical and subtropical steppe	humid subtropical	0.41935483870967744
2	Zacatecas	Adobera_artesanal	tropical and subtropical steppe	humid subtropical	0.6774193548387096
3	Chihuahua	Adobera_pasteurizada	tropical and subtropical steppe	humid subtropical	0.4838709677419355
4	Chihuahua	Adobera_artesanal	tropical and subtropical steppe	humid subtropical	0.8064516129032258
