	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Chihuahua	Adobera_pasteurizada	Pd	Pd	0.4838709677419355
1	Adobera_pasteurizada	Adobera_artesanal	Pd	Rw	0.8064516129032258
2	Adobera_pasteurizada	Zacatecas	Pd	Rw	0.41935483870967744
3	Chihuahua	Adobera_artesanal	Pd	Rw	0.8064516129032258
4	Chihuahua	Zacatecas	Pd	Rw	0.1935483870967742
0	Zacatecas	Adobera_artesanal	Rw	Rw	0.6774193548387096
1	Adobera_artesanal	Adobera_pasteurizada	Rw	Pd	0.8064516129032258
2	Adobera_artesanal	Chihuahua	Rw	Pd	0.8064516129032258
3	Zacatecas	Adobera_pasteurizada	Rw	Pd	0.41935483870967744
4	Zacatecas	Chihuahua	Rw	Pd	0.1935483870967742
