	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Chihuahua	Adobera_pasteurizada	Pd	Pd	0.3333333333333333
1	Adobera_pasteurizada	Adobera_artesanal	Pd	Rw	0.6666666666666666
2	Adobera_pasteurizada	Zacatecas	Pd	Rw	0.3333333333333333
3	Chihuahua	Adobera_artesanal	Pd	Rw	0.75
4	Chihuahua	Zacatecas	Pd	Rw	0.0
0	Zacatecas	Adobera_artesanal	Rw	Rw	0.75
1	Adobera_artesanal	Adobera_pasteurizada	Rw	Pd	0.6666666666666666
2	Adobera_artesanal	Chihuahua	Rw	Pd	0.75
3	Zacatecas	Adobera_pasteurizada	Rw	Pd	0.3333333333333333
4	Zacatecas	Chihuahua	Rw	Pd	0.0
