	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Adobera_artesanal	Adobera_pasteurizada	humid subtropical	humid subtropical	0.0356928357486217
1	Adobera_pasteurizada	Zacatecas	humid subtropical	tropical and subtropical steppe	0.09242377237927529
2	Adobera_pasteurizada	Chihuahua	humid subtropical	tropical and subtropical steppe	0.12923190550458047
3	Adobera_artesanal	Zacatecas	humid subtropical	tropical and subtropical steppe	0.07883075839131415
4	Adobera_artesanal	Chihuahua	humid subtropical	tropical and subtropical steppe	0.11860292186702756
0	Chihuahua	Zacatecas	tropical and subtropical steppe	tropical and subtropical steppe	0.04318957271114472
1	Zacatecas	Adobera_pasteurizada	tropical and subtropical steppe	humid subtropical	0.09242377237927529
2	Zacatecas	Adobera_artesanal	tropical and subtropical steppe	humid subtropical	0.07883075839131415
3	Chihuahua	Adobera_pasteurizada	tropical and subtropical steppe	humid subtropical	0.12923190550458047
4	Chihuahua	Adobera_artesanal	tropical and subtropical steppe	humid subtropical	0.11860292186702756
