	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Chihuahua	Adobera_pasteurizada	Pd	Pd	0.12923190550458047
1	Adobera_pasteurizada	Adobera_artesanal	Pd	Rw	0.0356928357486217
2	Adobera_pasteurizada	Zacatecas	Pd	Rw	0.09242377237927529
3	Chihuahua	Adobera_artesanal	Pd	Rw	0.11860292186702756
4	Chihuahua	Zacatecas	Pd	Rw	0.04318957271114472
0	Zacatecas	Adobera_artesanal	Rw	Rw	0.07883075839131415
1	Adobera_artesanal	Adobera_pasteurizada	Rw	Pd	0.0356928357486217
2	Adobera_artesanal	Chihuahua	Rw	Pd	0.11860292186702756
3	Zacatecas	Adobera_pasteurizada	Rw	Pd	0.09242377237927529
4	Zacatecas	Chihuahua	Rw	Pd	0.04318957271114472
