task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	05/7e5d07	60059	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Chihuahua)	COMPLETED	0	2022-09-16 15:06:26.186	861ms	10ms	80.0%	0	0	92.6 KB	887 B
2	63/fdc1ba	60270	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Adobera_pasteurizada)	COMPLETED	0	2022-09-16 15:06:27.059	898ms	10ms	100.0%	0	0	92.6 KB	873 B
4	2c/dbb616	60520	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Chihuahua)	COMPLETED	0	2022-09-16 15:06:27.968	1s	0ms	102.9%	9.2 MB	14.8 MB	3.4 MB	32.4 KB
5	5e/6dc51c	60748	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Chihuahua)	COMPLETED	0	2022-09-16 15:06:28.990	4.5s	3s	179.0%	130.3 MB	3.2 GB	20 MB	2.5 MB
7	b7/697b0a	61129	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Adobera_pasteurizada)	COMPLETED	0	2022-09-16 15:06:33.526	1.2s	0ms	112.8%	11.2 MB	16.3 MB	3.4 MB	32.3 KB
6	bb/40566a	61370	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Adobera_pasteurizada)	COMPLETED	0	2022-09-16 15:06:34.718	4.5s	2s	185.6%	134.5 MB	3.2 GB	20 MB	2.4 MB
8	3b/81cd29	61747	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Chihuahua)	COMPLETED	0	2022-09-16 15:06:39.271	9.7s	9s	102.7%	626 MB	1.1 GB	35.7 MB	3.1 KB
10	5f/597a7e	62174	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY (single_end)	COMPLETED	0	2022-09-16 15:06:48.980	13.2s	12s	102.8%	1.2 GB	2.4 GB	36.9 MB	585.9 KB
9	d8/895d84	62712	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Adobera_pasteurizada)	COMPLETED	0	2022-09-16 15:07:02.216	9.7s	9s	102.1%	625.9 MB	1.1 GB	35.7 MB	3.3 KB
11	de/571bfe	63233	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY (cutadapt_standard)	COMPLETED	0	2022-09-16 15:07:11.928	1.8s	0ms	64.0%	7.2 MB	30.2 MB	399.2 KB	542 B
1	c4/f592e6	63469	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	COMPLETED	0	2022-09-16 15:07:13.716	1.1s	245ms	162.6%	5.6 MB	13.3 MB	36.7 MB	62.3 MB
12	34/58381e	63741	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (SRR3307079)	COMPLETED	0	2022-09-16 15:07:14.772	10.7s	10s	102.4%	686.6 MB	1.5 GB	36.1 MB	182.3 KB
13	6e/13dd3c	64229	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (SRR3307076)	COMPLETED	0	2022-09-16 15:07:25.485	11.3s	11s	102.9%	803.8 MB	1.5 GB	36.1 MB	175.2 KB
14	61/f9a812	64718	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (single_end)	COMPLETED	0	2022-09-16 15:07:36.756	14.2s	13s	102.6%	647.8 MB	1.2 GB	36.8 MB	459.4 KB
