	W	Reject null hypothesis
Bacteria;Bacteria;Bdellovibrionota	2	False
Bacteria;Bacteria;Fusobacteriota	2	False
Bacteria;Bacteria;Elusimicrobiota	2	False
Bacteria;Bacteria;Bacteroidota	0	False
Bacteria;Bacteria;Firmicutes	0	False
Bacteria;Bacteria;Sumerlaeota	0	False
Bacteria;Bacteria;Verrucomicrobiota	0	False
Bacteria;Bacteria;Halanaerobiaeota	0	False
;;	0	False
Bacteria;Bacteria;Cyanobacteria	0	False
Bacteria;Bacteria;Deferribacterota	0	False
Bacteria;Bacteria;Chloroflexi	0	False
Bacteria;Bacteria;Planctomycetota	0	False
Bacteria;Bacteria;Rs-K70 termite group	0	False
Bacteria;Bacteria;Myxococcota	0	False
Bacteria;Bacteria;Synergistota	0	False
Bacteria;Bacteria;Patescibacteria	0	False
Bacteria;Bacteria;Proteobacteria	0	False
Bacteria;Bacteria;Desulfobacterota	0	False
Bacteria;Bacteria;	0	False
Bacteria;Bacteria;Actinobacteriota	0	False
Bacteria;Bacteria;Acidobacteriota	0	False
