id	clr	W
;;	3.3067117819709253	4
Bacteria;Bacteria;	5.921390359483763	10
Bacteria;Bacteria;Acidobacteriota	97.11272497023805	15
Bacteria;Bacteria;Actinobacteriota	9.73262392049893	15
Bacteria;Bacteria;Bacteroidota	4.820625814144136	14
Bacteria;Bacteria;Bdellovibrionota	8.678172229897848	10
Bacteria;Bacteria;Chloroflexi	5.127038848029941	13
Bacteria;Bacteria;Cyanobacteria	2.9929700065226545	13
Bacteria;Bacteria;Deferribacterota	0.2966418312680633	2
Bacteria;Bacteria;Desulfobacterota	954.6636157352383	19
Bacteria;Bacteria;Elusimicrobiota	15.298860132935145	12
Bacteria;Bacteria;Firmicutes	77.0891822488972	20
Bacteria;Bacteria;Fusobacteriota	52.12614403170652	15
Bacteria;Bacteria;Halanaerobiaeota	86.73803005473033	16
Bacteria;Bacteria;Myxococcota	5.6230283380161135	15
Bacteria;Bacteria;Patescibacteria	86.18375747289322	16
Bacteria;Bacteria;Planctomycetota	82.10107501975509	17
Bacteria;Bacteria;Proteobacteria	16.850330323011278	13
Bacteria;Bacteria;Rs-K70 termite group	13.3074609491669	11
Bacteria;Bacteria;Sumerlaeota	90.8456994994675	16
Bacteria;Bacteria;Synergistota	111.40672758283266	16
Bacteria;Bacteria;Verrucomicrobiota	87.29508217107347	16
