	W	Reject null hypothesis
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	462	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	462	True
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group	454	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	445	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	444	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	435	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	434	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002	433	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;	432	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Secundilactobacillus	425	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;P5D1-392;	421	True
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;	396	False
Bacteria;Bacteria;Firmicutes;Clostridia;;;	395	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella	394	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea	390	False
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcus	388	False
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	363	False
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio	362	False
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;	361	False
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;Raoultibacter	361	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	358	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;	351	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	350	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	348	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;;	337	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;	335	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	312	False
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella	308	False
Bacteria;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	304	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	303	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;	299	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium;	292	False
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;	290	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae;	289	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;	289	False
Bacteria;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;;	281	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Tsukamurellaceae;Tsukamurella	276	False
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus	275	False
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	274	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Brucella	270	False
Bacteria;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;;	270	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;;	268	False
Bacteria;Bacteria;Firmicutes;Bacilli;RF39;;	265	False
Bacteria;Bacteria;Planctomycetota;vadinHA49;;;	264	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	261	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudaminobacter	259	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	258	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas	253	False
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;;	247	False
Bacteria;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas	241	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia	237	False
Bacteria;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;	232	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	231	False
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	230	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus	230	False
Bacteria;Bacteria;Rs-K70 termite group;;;;	227	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacter	224	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga	218	False
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;	218	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	216	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	214	False
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium	211	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azovibrio	210	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group	209	False
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	207	False
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halolactibacillus	206	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Macellibacteroides	206	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Tessaracoccus	203	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009	202	False
Bacteria;Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas	201	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;	199	False
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus	198	False
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;	198	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;;	194	False
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax	190	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;	189	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter	188	False
Bacteria;Bacteria;Myxococcota;Myxococcia;Myxococcales;Vulgatibacteraceae;Vulgatibacter	188	False
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	186	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia	183	False
Bacteria;Bacteria;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter	182	False
Bacteria;Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;;	181	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae;Myceligenerans	181	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Citricoccus	181	False
Bacteria;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	174	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter	174	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;	169	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	167	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Neorhizobium	165	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;;;	165	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Crossiella	165	False
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;	161	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	156	False
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;	153	False
