	W	Reject null hypothesis
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales	104	True
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales	102	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales	101	True
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales	101	True
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales	100	True
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales	100	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	100	True
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	88	True
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales	88	True
Bacteria;Bacteria;Firmicutes;Clostridia;	87	True
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales	86	True
Bacteria;Bacteria;Synergistota;Synergistia;Synergistales	86	True
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales	85	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	85	True
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales	85	True
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales	83	True
Bacteria;Bacteria;Firmicutes;Clostridia;Peptococcales	83	True
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	79	True
Bacteria;Bacteria;Planctomycetota;vadinHA49;	79	True
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	78	True
Bacteria;Bacteria;Firmicutes;Bacilli;RF39	78	True
Bacteria;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	77	False
Bacteria;Bacteria;Rs-K70 termite group;;	77	False
Bacteria;Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales	76	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;	74	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Frankiales	73	False
Bacteria;Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales	73	False
Bacteria;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales	72	False
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014	72	False
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group	70	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales	70	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	69	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales	69	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	68	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;	66	False
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales	65	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;	63	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales	62	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	62	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales	62	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales	61	False
Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales	59	False
Bacteria;Bacteria;Firmicutes;Clostridia;Monoglobales	58	False
Bacteria;Bacteria;Firmicutes;;	55	False
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales	54	False
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales	53	False
Bacteria;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	51	False
Bacteria;Bacteria;Myxococcota;Polyangia;Polyangiales	51	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Cytophagales	51	False
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales	51	False
Bacteria;Bacteria;;;	51	False
Bacteria;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales	51	False
Bacteria;Bacteria;Chloroflexi;;	50	False
Bacteria;Bacteria;Sumerlaeota;Sumerlaeia;Sumerlaeales	50	False
Bacteria;Bacteria;Patescibacteria;;	50	False
Bacteria;Bacteria;Firmicutes;Sulfobacillia;Sulfobacillales	50	False
Bacteria;Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales	50	False
Bacteria;Bacteria;Firmicutes;Limnochordia;Hydrogenispora	50	False
Bacteria;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales	50	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales	50	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales	50	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales	50	False
Bacteria;Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales	50	False
Bacteria;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales	50	False
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales	50	False
Bacteria;Bacteria;Firmicutes;Bacilli;Brevibacillales	49	False
Bacteria;Bacteria;Firmicutes;Bacilli;Paenibacillales	49	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales	49	False
Bacteria;Bacteria;Firmicutes;Bacilli;Alicyclobacillales	49	False
Bacteria;Bacteria;Myxococcota;Polyangia;Haliangiales	49	False
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256	49	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales	49	False
Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia;Vampirovibrionales	49	False
Bacteria;Bacteria;Elusimicrobiota;Endomicrobia;Endomicrobiales	49	False
Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia;	48	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	48	False
Bacteria;Bacteria;Cyanobacteria;Sericytochromatia;	48	False
Bacteria;Bacteria;Firmicutes;Bacilli;RsaHf231	47	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales	47	False
Bacteria;Bacteria;Firmicutes;Bacilli;	46	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales	46	False
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia;OPB41	46	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales	44	False
Bacteria;Bacteria;Planctomycetota;Planctomycetes;Isosphaerales	44	False
Bacteria;Bacteria;Firmicutes;Incertae Sedis;DTU014	44	False
Bacteria;Bacteria;Firmicutes;Clostridia;Eubacteriales	44	False
Bacteria;Bacteria;Desulfobacterota;;	43	False
Bacteria;Bacteria;Proteobacteria;;	43	False
Bacteria;Bacteria;Firmicutes;BRH-c20a;	42	False
Bacteria;Bacteria;Firmicutes;Bacilli;Izemoplasmatales	42	False
Bacteria;Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales	40	False
Bacteria;Bacteria;Firmicutes;Bacilli;Acholeplasmatales	38	False
;;;;	37	False
Bacteria;Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales	36	False
Bacteria;Bacteria;Firmicutes;Clostridia;Gracilibacteraceae	36	False
Bacteria;Bacteria;Firmicutes;Clostridia;Caldicoprobacterales	35	False
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales	33	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	32	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;	30	False
Bacteria;Bacteria;Firmicutes;Negativicutes;	30	False
Bacteria;Bacteria;Myxococcota;Myxococcia;Myxococcales	27	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	22	False
Bacteria;Bacteria;Deferribacterota;Deferribacteres;Deferribacterales	19	False
Bacteria;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales	15	False
