id	clr	W
;;;;;	-1.624129770563757	58
Bacteria;Bacteria;;;;	3.329591186367815	94
Bacteria;Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae	-2.050595788454029	88
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;	-1.830873330720407	80
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae	-1.231726876009609	62
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae	-1.681430450354363	78
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae	-1.9930593739636726	84
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;;	3.8435889636645135	119
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae	-2.6804907131396227	80
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	-6.465622817137875	196
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;	2.504227584610879	104
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae	-3.166197980801678	88
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae	-0.9236378678201788	52
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae	2.848038526826212	122
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Segniliparaceae	-1.7158005017396945	75
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Tsukamurellaceae	3.3519593077858563	147
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;	1.83986834382688	127
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae	-1.8811362163765883	80
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae	-1.2722317288319034	72
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae	-1.7573283746953439	81
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;	2.354351822295747	96
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Beutenbergiaceae	-1.7036755773764076	77
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae	-1.8098012275888418	80
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae	1.2863461616714988	57
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae	-1.5771710656277054	66
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae	0.006172203511814689	22
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae	2.4431519373388495	82
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	-0.09966779770421486	23
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcales Incertae Sedis	2.9925316794998014	105
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae	4.045896818264491	156
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Rarobacteraceae	-1.3989764808497323	67
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae	-1.1844491203967626	62
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae	2.176191500526076	108
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	1.5629885978409988	106
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	-1.3414400663593762	68
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae	1.759881930728454	96
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Thermomonosporaceae	-1.2491291514075344	68
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;	-0.49229122462388253	39
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis	4.954700199479374	178
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia;OPB41;	-1.5325423553648636	75
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae	-2.0505957884540287	88
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14	-1.611150872986785	78
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	-1.0566331285388282	70
Bacteria;Bacteria;Bacteroidota;Bacteroidia;;	2.2307335834364386	108
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	3.024258134094406	140
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	2.2213333927302155	102
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae	4.060861575740786	143
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae	-0.2748405741125184	34
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	-1.5592486338897684	79
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	-1.7210121018535962	69
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae	-1.8544299378516835	85
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	5.19649318482695	179
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	3.103108033113553	129
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae	-0.3220186672448324	26
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae	-2.0505957884540287	86
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae	-1.9119663523420396	85
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;	-1.9930593739636726	82
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae	-1.0953321000172447	54
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae	0.6958230447082909	109
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	-2.0964330819143813	81
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae	2.4017339048584265	127
Bacteria;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae	-2.0505957884540287	88
Bacteria;Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae	-1.8811362163765883	84
Bacteria;Bacteria;Chloroflexi;;;	-1.9484306637008308	88
Bacteria;Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45	0.06448643087486061	50
Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia;;	-1.9484306637008308	82
Bacteria;Bacteria;Cyanobacteria;Sericytochromatia;;	-1.9484306637008308	82
Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;	0.700301382771271	77
