index,Bacteria;Bacteria;Bacteroidota,Bacteria;Bacteria;Firmicutes,Bacteria;Bacteria;Actinobacteriota,Bacteria;Bacteria;,Bacteria;Bacteria;Desulfobacterota,Bacteria;Bacteria;Proteobacteria,Bacteria;Bacteria;Patescibacteria,Bacteria;Bacteria;Synergistota,Bacteria;Bacteria;Myxococcota,Bacteria;Bacteria;Rs-K70 termite group,Bacteria;Bacteria;Planctomycetota,Bacteria;Bacteria;Chloroflexi,Bacteria;Bacteria;Elusimicrobiota,Bacteria;Bacteria;Deferribacterota,Bacteria;Bacteria;Cyanobacteria,Bacteria;Bacteria;Fusobacteriota,Bacteria;Bacteria;Bdellovibrionota,;;,Bacteria;Bacteria;Halanaerobiaeota,Bacteria;Bacteria;Verrucomicrobiota,Bacteria;Bacteria;Sumerlaeota,Bacteria;Bacteria;Acidobacteriota,Barcode_name,Tipo_de_muestra,Descripcion,Fecha_origen,Intensidad
QA_23_C,68.0,127545.0,70.0,0.0,0.0,7441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,IonXpress_007,Queso,231120_control,231120,NA
QA_25_600,582.0,591872.0,281.0,4.0,0.0,5227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_008,Queso,251120_600_Mpa_10_min_25C,251120,600
QA_25_300,190.0,362040.0,193.0,0.0,0.0,12320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_009,Queso,251120_300_Mpa_10_min_25C,251120,300
QA_24_600,198.0,263206.0,154.0,0.0,0.0,8032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_010,Queso,241120_600_Mpa_10_min_25C,241120,600
QA_23_600,423.0,350346.0,180.0,0.0,0.0,5748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_011,Queso,231120_600_Mpa_10_min_25C,231120,600
QA_24C,89.0,278988.0,131.0,0.0,0.0,14915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_012,Queso,241120_control,241120,NA
QA_25C,190.0,279357.0,142.0,39.0,0.0,12492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_013,Queso,251120_control,251120,NA
QA_24_300,75.0,170888.0,97.0,0.0,0.0,9109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_014,Queso,241120_300_Mpa_10_min_25C,241120,300
QA_23_300,154.0,235974.0,122.0,0.0,0.0,8967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_015,Queso,231120_300_Mpa_10_min_25C,231120,300
X_1_1C,6082.0,29803.0,7708.0,1156.0,2433.0,12790.0,2256.0,2759.0,246.0,513.0,1532.0,181.0,0.0,107.0,9.0,0.0,0.0,0.0,8.0,7.0,4.0,2.0,IonXpress_026,GC,Phyllofaga_sp,Montecillo,Texcoco
X_2_1C,2435.0,18091.0,9970.0,357.0,1383.0,15101.0,925.0,958.0,0.0,62.0,197.0,9.0,0.0,71.0,35.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,IonXpress_027,GC,Phyllofaga_sp,Tierras_negras,Guanajuato
X_3_1C,3760.0,46117.0,4816.0,1521.0,2458.0,15908.0,1148.0,768.0,12.0,248.0,855.0,10.0,11.0,117.0,161.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,IonXpress_028,GC,Anomala_,Tierras_negras,Guanajuato
X_4_1C,5924.0,22267.0,4789.0,455.0,1496.0,32043.0,437.0,1813.0,0.0,126.0,229.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_029,GC,Ciclocefala,Tierras_negras,Guanajuato
X_5_1C,2980.0,53035.0,12505.0,594.0,1274.0,17902.0,158.0,1204.0,8.0,1217.0,113.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,IonXpress_030,GC,Paranomala,El_garbanzo,Guanajuato
Q1C11,79.0,96984.0,112.0,69.0,0.0,42156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,IonXpress_031,Queso,11_23_20,231120,NA
