index,Bacteria;Bacteria;Bacteroidota;Bacteroidia,Bacteria;Bacteria;Firmicutes;Clostridia,Bacteria;Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Bacteria;Firmicutes;Bacilli,Bacteria;Bacteria;;,Bacteria;Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Bacteria;Patescibacteria;,Bacteria;Bacteria;Synergistota;Synergistia,Bacteria;Bacteria;Firmicutes;,Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Bacteria;Desulfobacterota;Desulfobacteria,Bacteria;Bacteria;Firmicutes;Desulfitobacteriia,Bacteria;Bacteria;Firmicutes;Negativicutes,Bacteria;Bacteria;Myxococcota;Myxococcia,Bacteria;Bacteria;Rs-K70 termite group;,Bacteria;Bacteria;Planctomycetota;Planctomycetes,Bacteria;Bacteria;Firmicutes;Syntrophomonadia,Bacteria;Bacteria;Proteobacteria;,Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia,Bacteria;Bacteria;Chloroflexi;,Bacteria;Bacteria;Desulfobacterota;Desulfarculia,Bacteria;Bacteria;Planctomycetota;vadinHA49,Bacteria;Bacteria;Firmicutes;BRH-c20a,Bacteria;Bacteria;Elusimicrobiota;Endomicrobia,Bacteria;Bacteria;Deferribacterota;Deferribacteres,Bacteria;Bacteria;Myxococcota;Polyangia,Bacteria;Bacteria;Firmicutes;Sulfobacillia,Bacteria;Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Bacteria;Chloroflexi;Chloroflexia,Bacteria;Bacteria;Fusobacteriota;Fusobacteriia,Bacteria;Bacteria;Bdellovibrionota;Oligoflexia,;;;,Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia,Bacteria;Bacteria;Halanaerobiaeota;Halanaerobiia,Bacteria;Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bacteria;Firmicutes;Desulfotomaculia,Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae,Bacteria;Bacteria;Firmicutes;Incertae Sedis,Bacteria;Bacteria;Sumerlaeota;Sumerlaeia,Bacteria;Bacteria;Cyanobacteria;Sericytochromatia,Bacteria;Bacteria;Desulfobacterota;,Bacteria;Bacteria;Firmicutes;Limnochordia,Bacteria;Bacteria;Acidobacteriota;Blastocatellia,Barcode_name,Tipo_de_muestra,Descripcion,Fecha_origen,Intensidad
QA_23_C,68.0,0.0,0.0,127511.0,0.0,70.0,0.0,7432.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_007,Queso,231120_control,231120,NA
QA_25_600,582.0,0.0,0.0,591872.0,4.0,281.0,0.0,5155.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_008,Queso,251120_600_Mpa_10_min_25C,251120,600
QA_25_300,190.0,0.0,0.0,362040.0,0.0,193.0,0.0,12245.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_009,Queso,251120_300_Mpa_10_min_25C,251120,300
QA_24_600,198.0,0.0,0.0,263202.0,0.0,154.0,0.0,8000.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_010,Queso,241120_600_Mpa_10_min_25C,241120,600
QA_23_600,423.0,2.0,0.0,350185.0,0.0,180.0,0.0,5696.0,0.0,0.0,101.0,52.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_011,Queso,231120_600_Mpa_10_min_25C,231120,600
QA_24C,89.0,4.0,0.0,278947.0,0.0,131.0,0.0,14772.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_012,Queso,241120_control,241120,NA
QA_25C,190.0,2.0,0.0,279345.0,39.0,142.0,0.0,12426.0,0.0,0.0,10.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_013,Queso,251120_control,251120,NA
QA_24_300,75.0,0.0,0.0,170865.0,0.0,97.0,0.0,9094.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_014,Queso,241120_300_Mpa_10_min_25C,241120,300
QA_23_300,154.0,0.0,0.0,235915.0,0.0,122.0,0.0,8930.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IonXpress_015,Queso,231120_300_Mpa_10_min_25C,231120,300
X_1_1C,6082.0,18198.0,1537.0,9744.0,1156.0,6151.0,1619.0,8002.0,0.0,2759.0,806.0,4779.0,2256.0,793.0,806.0,162.0,236.0,513.0,2.0,84.0,9.0,18.0,4.0,21.0,1530.0,0.0,0.0,107.0,10.0,0.0,2.0,9.0,177.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,3.0,2.0,IonXpress_026,GC,Phyllofaga_sp,Montecillo,Texcoco
