pathway	description	QA_23_C	QA_25_600	QA_25_300	QA_24_600	QA_23_600	QA_24C	QA_25C	QA_24_300	QA_23_300	X_1_1C	X_2_1C	X_3_1C	X_4_1C	X_5_1C	Q1C11
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	54713.66402491848	214712.99223277727	127523.81787160542	101461.40855889024	141540.08455146576	111077.44511156388	102809.8686684614	63406.12363374493	81038.47694191473	26191.054885632704	17889.688507449497	27186.806150798493	23733.361448678177	32973.79961808756	45317.29126195319
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	720.7141891759535	460.1693813700161	999.108586463964	724.588955546306	637.9676687115868	1471.32252935743	1150.3489884295143	780.7131076518755	838.9300781239531	1396.400410108215	2000.082366618556	2339.485918960254	4801.257094305987	2567.259701620714	2893.783382239714
AEROBACTINSYN-PWY	aerobactin biosynthesis	238.69165288013235	124.22142067041791	365.0660565152728	259.18693087278785	154.87803083169447	550.4165510184504	418.67712413238985	292.77202587793454	269.9228565682748	205.76360395264248	277.4702516020667	399.3897373799813	797.4515726232248	437.8218858765403	1107.2556875425917
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	3532.8482525858426	3152.568410030529	5364.482345234182	3218.963182555091	3797.793012926576	5807.963823054979	5521.028159216116	3046.465862803474	4113.951415757587	5337.443800025776	6975.154459551619	8436.46781135004	11326.856535344925	11709.860406041056	13066.215399753151
ANAEROFRUCAT-PWY	homolactic fermentation	39824.2676227661	146433.7225984238	83187.64688984926	67915.32291968404	93545.540160409	82410.64233744377	65684.05068974396	44492.14558027082	61379.57280583186	26304.081780944343	18245.4015184637	26917.84154119237	22161.30098303929	35864.73711396141	43735.784246344105
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	60368.94145255909	245618.40421042067	145656.1590934699	116781.08621911355	162791.96130132928	124316.95614333072	115757.8128900216	70939.11906771638	91692.45440519832	34607.089749636805	24531.76110295285	39061.99303935253	29637.261051285925	45726.45094111821	51295.87597332735
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	2180.616419801737	1884.568210539004	4596.51111083691	1975.7547384447207	1892.7414569837356	4395.831261227135	4725.495019778541	2438.832226028003	2846.347711502985	13362.20478623276	11139.952095544884	16130.696962467133	14766.462563729225	18333.416332959943	8270.401770483255
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	1247.258460407006	1152.1326920924266	2739.998081479676	1164.8478461431282	1028.010249026866	2566.1115694884047	2897.05871068372	1448.1529830189045	1753.3384709751324	1295.3529049058525	1996.0534124415192	2636.4185579136133	5357.097415090538	2258.395784178977	4796.109327944953
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	4495.651364628562	11986.70220710859	7204.918197956386	6684.374800635732	10216.618357016903	7166.791408426144	6939.042950695966	3580.3942762985184	6024.812401722229	9680.870031917935	9259.19508638908	12827.00217038847	8726.971781348593	14047.383019638048	6926.003109909865
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	51214.031162029656	207666.52117971436	122242.96919632556	96689.17465622778	133833.96394111795	102538.94629722842	98576.81758775182	59870.37452576692	75128.96117216734	26092.3554918911	20385.588766231554	32204.765665299008	23593.49856091609	36711.42553532823	43826.19324187163
