sample	input	filtered	denoised	nonchim
Adobera_pasteurizada	3803	3160	3117	3066
Adobera_artesanal	27145	19415	19233	18259
Zacatecas	41776	31586	31401	29662
Chihuahua	68212	58179	57835	55140
Cincho	42211	34934	34731	32934
Oaxaca	56397	42504	42223	39844
Canasto	6101	3826	3774	3766
Asadero	10887	10057	9961	9776
Manchego	26225	22086	21946	21540
Adobera_mesa	68901	40495	40267	38957
Cotija	48590	36242	36061	34393
Panela_pasteurizado	12219	9973	9888	9751
Panela_artesanal	56288	42539	42318	39845
Jocoque	83642	70819	70626	66003
Chiapas	57404	48492	48331	43107
Ranchero_Estado_de_Mexico	64397	48829	48641	45154
Ranchero_Veracruz	59210	41815	41606	39376
