Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Adobera_artesanal	35.33553355335533	50.85441877521083
Adobera_mesa	67.08681243940205	23.1017466680173
Adobera_pasteurizada	60.927324824172956	27.871841625423357
Asadero	40.07693012180603	47.92563421558749
Canasto	62.888780328936654	25.061064973131458
Chiapas	58.91156226100257	30.90975457136898
Chihuahua	43.58869614694426	43.89944998030437
Cincho	47.286476868327405	38.21642629705935
Cotija	24.086184628631173	62.684761885237506
Jocoque	64.67818831942789	25.543504171632904
Manchego	70.3456640388114	19.318526379624032
Oaxaca	54.01440478507848	34.852855297386284
Panela_artesanal	29.410201912858664	58.818632660290476
Panela_pasteurizado	47.60396361273555	39.34372969460687
Ranchero_Estado_de_Mexico	36.9292679151834	49.69354589072904
Ranchero_Veracruz	61.49847763554091	26.839033088297185
Zacatecas	35.30197500238527	51.452628565976504
