Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Adobera_artesanal										6.578657865786579	2.2845617895122845	6.384305097176385	5.229189585625229	34.42977631096443	35.33553355335533	0.0																																																																																																																																																
Adobera_mesa										3.4209802758201526	3.3442831714976196	4.623532986990435	2.0563506649494236	14.7909642128417	0.0	67.08681243940205																																																																																																																																																
Adobera_pasteurizada										7.319614482938265	2.083876009377442	13.362854910132846	0.0	60.927324824172956	0.0	0.0																																																																																																																																																
Asadero										4.71654913453613	1.7950361754739446	7.381628354244894	18.30753732026742	56.5344811795952	0.0	0.0																																																																																																																																																
Canasto										6.057645334636053	2.3123269825761277	14.916137436899527	0.0	62.888780328936654	0.0	0.0																																																																																																																																																
Chiapas										4.833831606757978	3.0469999304734756	3.153027880136272	0.9803239936035598	10.86004310644511	13.145727595077522	58.91156226100257																																																																																																																																																
Chihuahua										6.652758122638344	1.9520592912478298	3.381818712341158	0.0	0.0	0.0	83.31558291875173																																																																																																																																																
Cincho										6.8364862333770375	2.0720172316913277	7.566960104888556	4.1112567896609855	10.371792470500093	13.024442779546733	47.286476868327405																																																																																																																																																
Cotija										6.012833391418438	1.1931363906599153	6.551999835994998	3.0586932901453494	11.767358904446585	17.333278664999284	46.5630701736403																																																																																																																																																
Jocoque										3.7449344457687723	3.029797377830751	3.794994040524434	3.3563766388557807	4.319427890345649	0.0	77.67103694874851																																																																																																																																																
Manchego										6.913280776228017	3.50970285021225	7.875985445724681	4.256367495451789	0.0	0.0	70.3456640388114																																																																																																																																																
Oaxaca										4.549717744076165	2.2191155391176625	7.589941425259693	1.343148878939638	24.27577907943867	0.0	54.01440478507848																																																																																																																																																
Panela_artesanal										5.419766206163656	2.3131420474672337	4.900814736096351	4.704215373715905	8.234148069429684	13.73715905065533	54.61919943322706																																																																																																																																																
Panela_pasteurizado										7.10688758934373	1.5107212475633527	10.932423651721896	8.04093567251462	13.62085769980507	47.60396361273555	0.0																																																																																																																																																
Ranchero_Estado_de_Mexico										5.370685652375793	2.061600371459526	3.881752050766135	2.496517566940102	25.61058659650209	0.0	53.69602228757159																																																																																																																																																
Ranchero_Veracruz										4.762225175366293	3.2465893989604186	6.843070297912426	2.3718606489814458	15.29093141790166	0.0	61.49847763554091																																																																																																																																																
Zacatecas										6.48316000381643	2.6214101707852304	6.4879305409789145	3.2654326877206374	12.505963171453105	0.0	61.11535158858887																																																																																																																																																
