Sample	cutadapt_version	r_processed	r_with_adapters	r_too_short	r_written	bp_processed	bp_written	percent_trimmed	r_filtered_unexplained
Adobera_artesanal	3.4	27270	27145	0	27145	5726467	5238766	8.51661242437964	125
Adobera_mesa	3.4	69103	68901	0	68901	14510185	13296301	8.36573758363522	202
Adobera_pasteurizada	3.4	3839	3803	0	3803	806141	733906	8.960591261330213	36
Asadero	3.4	10919	10887	0	10887	2292939	2101274	8.358922762445927	32
Canasto	3.4	6141	6101	0	6101	1289556	1177383	8.698575323599751	40
Chiapas	3.4	57532	57404	0	57404	12081027	11078105	8.301628661205706	128
Chihuahua	3.4	68543	68212	0	68212	14393259	13163989	8.5405952883916	331
Cincho	3.4	42712	42211	0	42211	8969042	8146180	9.174469246548293	501
Cotija	3.4	48779	48590	0	48590	10243170	9377782	8.448439301505296	189
Jocoque	3.4	83900	83642	0	83642	17618133	16140785	8.38538340015937	258
Manchego	3.4	26384	26225	0	26225	5540330	5061144	8.649051590789718	159
Oaxaca	3.4	56509	56397	0	56397	11866255	10883335	8.283321064649293	112
Panela_artesanal	3.4	56460	56288	0	56288	11856186	10863494	8.372776877825634	172
Panela_pasteurizado	3.4	12312	12219	0	12219	2585386	2357830	8.80162575336913	93
Ranchero_Estado_de_Mexico	3.4	64610	64397	0	64397	13567649	12427275	8.405096564629583	213
Ranchero_Veracruz	3.4	59447	59210	0	59210	12483596	11427604	8.459036963387794	237
Zacatecas	3.4	41924	41776	0	41776	8803645	8062488	8.418751551204075	148
