Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Adobera_artesanal	8.51661242437964	93.86505317198386	54.0	209.9914558122479	30.0	27270.0
Adobera_mesa	8.36573758363522	96.93935140297816	54.0	209.9790891857083	40.0	69103.0
Adobera_pasteurizada	8.960591261330213	89.68481375358166	55.0	209.98723625944257	40.0	3839.0
Asadero	8.358922762445927	92.93891381994688	53.0	209.99532924260464	40.0	10919.0
Canasto	8.698575323599751	91.46718775443739	56.0	209.99120664386908	40.0	6141.0
Chiapas	8.301628661205706	96.86087742473754	52.0	209.98795452965305	50.0	57532.0
Chihuahua	8.5405952883916	96.88662591366004	53.0	209.98875158659527	40.0	68543.0
Cincho	9.174469246548293	94.5237872260723	54.0	209.98880876568646	40.0	42712.0
Cotija	8.448439301505296	95.16185243649932	53.0	209.99138973738698	40.0	48779.0
Jocoque	8.38538340015937	97.31942789034565	53.0	209.98966626936829	40.0	83900.0
Manchego	8.649051590789718	95.20921770770164	53.0	209.9882504548211	40.0	26384.0
Oaxaca	8.283321064649293	96.25900299067405	53.0	209.9887628519351	40.0	56509.0
Panela_artesanal	8.372776877825634	96.05207226354942	54.0	209.99266737513284	40.0	56460.0
Panela_pasteurizado	8.80162575336913	92.7712800519818	54.0	209.98911630929175	40.0	12312.0
Ranchero_Estado_de_Mexico	8.405096564629583	95.90311097353351	54.0	209.99301965639995	40.0	64610.0
Ranchero_Veracruz	8.459036963387794	96.10072837990143	54.0	209.99539085235588	40.0	59447.0
Zacatecas	8.418751551204075	95.08396145405973	53.0	209.9905781891041	40.0	41924.0
