# Constructed from biom file
#OTU ID	Adobera_pasteurizada	Adobera_artesanal	Zacatecas	Chihuahua	Cincho	Oaxaca	Canasto	Asadero	Manchego	Adobera_mesa	Cotija	Panela_pasteurizado	Panela_artesanal	Jocoque	Chiapas	Ranchero_Estado_de_Mexico	Ranchero_Veracruz
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	0.0	135.0	74.0	21.0	3738.0	1535.0	0.0	428.0	192.0	334.0	399.0	892.0	366.0	181.0	48.0	589.0	393.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae	0.0	36.0	34.0	0.0	60.0	216.0	83.0	22.0	13.0	29428.0	100.0	13.0	514.0	19.0	18.0	57.0	31374.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	206.0	1179.0	5497.0	28162.0	2394.0	946.0	98.0	2589.0	444.0	735.0	9283.0	475.0	777.0	2561.0	37730.0	2205.0	396.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	9.0	18.0	39.0	19.0	58.0	39.0	17.0	6.0	0.0	192.0	45.0	0.0	63.0	0.0	103.0	67.0	110.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae	0.0	0.0	0.0	23.0	64.0	57.0	2614.0	273.0	303.0	288.0	49.0	0.0	89.0	111.0	25.0	161.0	157.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	2779.0	16303.0	20535.0	26124.0	23155.0	34722.0	84.0	5075.0	19390.0	3099.0	4976.0	7608.0	19663.0	61558.0	4766.0	37560.0	976.0
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	0.0	31.0	123.0	0.0	54.0	321.0	135.0	15.0	29.0	171.0	125.0	243.0	183.0	47.0	41.0	0.0	14.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;	0.0	0.0	0.0	0.0	254.0	0.0	0.0	0.0	0.0	263.0	207.0	0.0	70.0	0.0	4.0	0.0	455.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	0.0	63.0	16.0	7.0	57.0	0.0	0.0	56.0	14.0	6.0	127.0	38.0	47.0	0.0	0.0	113.0	14.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	0.0	0.0	85.0	62.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
