sample	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
Adobera_pasteurizada	3066	3066.0	0.0	100.0	0.0
Adobera_artesanal	18259	18259.0	0.0	100.0	0.0
Zacatecas	29662	29662.0	0.0	100.0	0.0
Chihuahua	55140	55140.0	0.0	100.0	0.0
Cincho	32934	32934.0	0.0	100.0	0.0
Oaxaca	39844	39844.0	0.0	100.0	0.0
Canasto	3766	3766.0	0.0	100.0	0.0
Asadero	9776	9776.0	0.0	100.0	0.0
Manchego	21540	21540.0	0.0	100.0	0.0
Adobera_mesa	38957	38957.0	0.0	100.0	0.0
Cotija	34393	34393.0	0.0	100.0	0.0
Panela_pasteurizado	9751	9751.0	0.0	100.0	0.0
Panela_artesanal	39845	39845.0	0.0	100.0	0.0
Jocoque	66003	66003.0	0.0	100.0	0.0
Chiapas	43107	43107.0	0.0	100.0	0.0
Ranchero_Estado_de_Mexico	45154	45154.0	0.0	100.0	0.0
Ranchero_Veracruz	39376	39376.0	0.0	100.0	0.0
