	W	Reject null hypothesis
6f248e9c6383467d46dbc0b381705d5b	384	True
7969ee25ebef6d060148f70f21abe203	384	True
0eee44f755806742dbbc4b4544922407	384	True
b9dcdd7f773fe1d3a918298f99a961e1	384	True
8aa6c22a6add4a808ba23540378e2c77	383	True
95e2a58816988f993c5dc43a4216934a	383	True
a09fb2c4b5faeeb95c468cbc5778f792	383	True
6f3152135c6e2ad7ae6c1194e13c4e69	383	True
d1d41c653cf0a4545e378beb962a1ff8	383	True
21117efb811f9cb210f941a06d34cf5d	383	True
56b50b37bd3a37e4f5ca09e5e7130fde	383	True
32a5fdc098c8ebe8ab7f559d7a7f7074	383	True
04fb767efaeddfee9c1dfa6c18053ebc	383	True
caaa9b9cf345eaecae78a8f37e2aa309	383	True
523bd54551c7ff683bef956e57d587c9	383	True
f4a725fe702f0c39f401c7995d8fef5c	383	True
13f3102c3659958d2456ae28315486e8	383	True
157c9ffd55e34752535eeda8cd9e4cbb	383	True
b03fca7b94ebc182bf8c099d444005e8	383	True
b23b5f691d5100229bbebdaba402d1f6	383	True
54de851bfd34018d0791534ddeb5e9f6	383	True
f85a09617a9508236ba8e2d189a0a0a1	383	True
c6fbf4f1d60ce964103f8db222801691	382	True
ef867a56695f8f40df07bb96222421f6	382	True
07b169b998bfa5d8032bec969ee0382b	382	True
018cc65930f9a2c33bda13b779de61c8	382	True
ee66e6a57cc03213b58b52235ad2d083	382	True
8f7c12c8f5c1fb33dc6b74d8afbe86c8	382	True
2bec6ecb2df355af9a90b53103eebe2b	382	True
d359831ffa595f0647ffaef83a9dffd6	382	True
afce08fa4d40eb56127835793b1cbe6d	382	True
d2a3bc7a3ad146a7ebfb51b711e28266	382	True
39c2f2148a4c8ad1369479c7a3dd713f	382	True
5cd22b53ee87ba6b4ccc3a930ac6553e	382	True
27f132c6aa1c489d72a260794544a72e	382	True
bf3f2b2afd33bbb2e3d9ef06f37730af	382	True
03b58db569d9019ec6a7ecbc950fd76f	382	True
1c0a8add5f577d95a4ea72276af15b52	382	True
024fc682f6b43533edf6f7741cb4fe89	382	True
8dd173fb6c24e1a2563ce225b8c8f515	382	True
cc22da63c6d3698e735bd0758b4e9fa5	382	True
59cf8b655ec96598204b575aef6193fa	382	True
5c180778455167b54aeaa0b4878ca666	382	True
b8fdd8a2afefa6fc9e653d3366484fdc	382	True
5db7034e70dc2870ae91b336321d3b94	382	True
13e5df180944e709dbed78ecfa3a8d3e	382	True
202642cde3f784e9a415c9cf2be4d458	382	True
7769aca0f050fb26d3538f65ac982249	382	True
23871126991fe992e34c37a5c51019e1	382	True
d50915b00bdee3923417ebc8d6ed53d4	382	True
429f3f8cd73dfbb0d5c32c3c3800ddec	382	True
8f62bf6d12fc30bda38b85ee0584e047	382	True
0b7e05ef3a66d7b03d59be872668400e	382	True
769db7ed59da2849ea469d0dd5711824	382	True
279b9c0b724fc606ff08d8919f3cd9dc	382	True
7ca0f90a50d23b8a29db61e3a8100611	382	True
19df8e1e0f8fe07e548fb13c5865cdcd	382	True
077535df1a73af4966948d25c25c678d	382	True
346093f96aad1b994f2f950750f4571e	382	True
1defe098a42a444ec8d9915b59ca3505	382	True
55680983bc574833dd63e9e9fa7c8e4a	382	True
b96eb085d112443fd57d096762ef9a39	382	True
e9d09dfdb2a18820950c1da6f3719cf7	382	True
7f5382019a2d8c03e1e707cae172192e	382	True
ce691db0cce1fd2791d883fae1961e7b	382	True
5ddf2e81220cc4d83c92aaf53427fa73	382	True
663036b5dabaaa7317249c3c501b7688	382	True
fe0a39ccc5bcf7395908b6e67ae28f5a	382	True
8fa59aae67bc125fd1a8d64e5e624fe6	382	True
e8a5b4fb34a800010da0287094c1003d	382	True
a29b3e561650b9bbf5a991fc24b5e093	382	True
51b542f8f375f67f1df129c76e7bb050	382	True
a77a8e196236dfb814703b691d491150	382	True
