Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Guadalajara	Guadalajara	Guadalajara	Guadalajara	Guadalajara	Jilotepec	Jilotepec	Jilotepec	Jilotepec	Jilotepec	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Pijijiapan	Pijijiapan	Pijijiapan	Pijijiapan	Pijijiapan	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	Tempoal	Tempoal	Tempoal	Tempoal	Tempoal	Tepatitlan	Tepatitlan	Tepatitlan	Tepatitlan	Tepatitlan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tulancingo	Tulancingo	Tulancingo	Tulancingo	Tulancingo	Veracruz	Veracruz	Veracruz	Veracruz	Veracruz	Zapotlanejo	Zapotlanejo	Zapotlanejo	Zapotlanejo	Zapotlanejo
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;	1.0	1.0	1.0	1.0	1.0	188.0	188.0	188.0	188.0	188.0	1.0	1.0	1.0	1.0	1.0	139.0	139.0	139.0	139.0	139.0	316.0	316.0	316.0	316.0	316.0	139.0	139.0	139.0	139.0	139.0	1.0	1.0	1.0	1.0	1.0	91.0	111.5	132.0	152.5	173.0	136.0	136.0	136.0	136.0	136.0	108.0	108.0	108.0	108.0	108.0	1.0	88.25	175.5	262.75	350.0	34.0	34.0	34.0	34.0	34.0	168.0	168.0	168.0	168.0	168.0	353.0	353.0	353.0	353.0	353.0	135.0	135.0	135.0	135.0	135.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae;Marinomonas	1.0	1.0	1.0	1.0	1.0	101.0	101.0	101.0	101.0	101.0	84.0	84.0	84.0	84.0	84.0	20.0	20.0	20.0	20.0	20.0	58.0	58.0	58.0	58.0	58.0	29429.0	29429.0	29429.0	29429.0	29429.0	19.0	19.0	19.0	19.0	19.0	14.0	16.25	18.5	20.75	23.0	37.0	37.0	37.0	37.0	37.0	31375.0	31375.0	31375.0	31375.0	31375.0	1.0	4.25	7.5	10.75	14.0	35.0	35.0	35.0	35.0	35.0	217.0	217.0	217.0	217.0	217.0	61.0	61.0	61.0	61.0	61.0	515.0	515.0	515.0	515.0	515.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Paucilactobacillus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	17.0	17.0	17.0	17.0	17.0	1.0	3.5	6.0	8.5	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	20.0	20.0	20.0	20.0	20.0	46.0	46.0	46.0	46.0	46.0	18.0	18.0	18.0	18.0	18.0	1.0	1.0	1.0	1.0	1.0	68.0	68.0	68.0	68.0	68.0	148.0	148.0	148.0	148.0	148.0	104.0	104.0	104.0	104.0	104.0	1.0	2.5	4.0	5.5	7.0	19.0	19.0	19.0	19.0	19.0	111.0	111.0	111.0	111.0	111.0	1.0	3.25	5.5	7.75	10.0	16.0	16.0	16.0	16.0	16.0	40.0	40.0	40.0	40.0	40.0	35.0	35.0	35.0	35.0	35.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia	24.0	24.0	24.0	24.0	24.0	1.0	1.0	1.0	1.0	1.0	2123.0	2123.0	2123.0	2123.0	2123.0	35.0	35.0	35.0	35.0	35.0	1.0	1.0	1.0	1.0	1.0	121.0	121.0	121.0	121.0	121.0	26.0	26.0	26.0	26.0	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	65.0	65.0	65.0	65.0	65.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	127.0	127.0	127.0	127.0	127.0	58.0	58.0	58.0	58.0	58.0	49.0	49.0	49.0	49.0	49.0	1.0	7.25	13.5	19.75	26.0	1.0	1.0	1.0	1.0	1.0	92.0	92.0	92.0	92.0	92.0	1.0	96.25	191.5	286.75	382.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1009.0	1009.0	1009.0	1009.0	1009.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	26.0	26.0	26.0	26.0	26.0	33.0	33.0	33.0	33.0	33.0	1.0	1.0	1.0	1.0	1.0	21.0	21.0	21.0	21.0	21.0	11.0	11.0	11.0	11.0	11.0	1.0	1.0	1.0	1.0	1.0	3871.0	3871.0	3871.0	3871.0	3871.0	1.0	5.5	10.0	14.5	19.0	103.0	103.0	103.0	103.0	103.0	17.0	17.0	17.0	17.0	17.0	1.0	1.0	1.0	1.0	1.0	13.0	13.0	13.0	13.0	13.0	19.0	19.0	19.0	19.0	19.0	11.0	11.0	11.0	11.0	11.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella	1.0	1.0	1.0	1.0	1.0	125.0	125.0	125.0	125.0	125.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	63.0	63.0	63.0	63.0	63.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	143.0	143.0	143.0	143.0	143.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	228.0	228.0	228.0	228.0	228.0	206.0	206.0	206.0	206.0	206.0
