	W	Reject null hypothesis
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales	7	True
Bacteria;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	6	True
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales	4	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales	4	True
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	4	True
Bacteria;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales	3	True
Bacteria;Bacteria;Deinococcota;Deinococci;Thermales	2	True
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	2	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	1	True
Bacteria;Bacteria;Firmicutes;Bacilli;Exiguobacterales	1	True
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2	1	True
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014	1	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales	0	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales	0	True
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	0	True
Bacteria;Bacteria;;;	0	True
Bacteria;Bacteria;Firmicutes;Bacilli;Paenibacillales	0	True
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales	0	True
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales	0	True
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;	0	True
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales	0	True
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales	0	True
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales	0	True
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales	0	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	0	True
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales	0	True
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales	0	True
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales	0	True
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	0	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	0	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	0	True
