Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Chiapas	Chiapas	Chiapas	Chiapas	Chiapas	Chihuahua	Chihuahua	Chihuahua	Chihuahua	Chihuahua	Durango	Durango	Durango	Durango	Durango	EDOMEX	EDOMEX	EDOMEX	EDOMEX	EDOMEX	Hidalgo	Hidalgo	Hidalgo	Hidalgo	Hidalgo	Jalisco	Jalisco	Jalisco	Jalisco	Jalisco	Queretaro	Queretaro	Queretaro	Queretaro	Queretaro	Veracruz	Veracruz	Veracruz	Veracruz	Veracruz
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	49.0	49.0	49.0	49.0	49.0	22.0	22.0	22.0	22.0	22.0	1.0	1.0	1.0	1.0	1.0	590.0	590.0	590.0	590.0	590.0	1536.0	1536.0	1536.0	1536.0	1536.0	1.0	159.0	335.0	383.5	893.0	75.0	134.0	193.0	311.0	429.0	394.0	1230.25	2066.5	2902.75	3739.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae	19.0	19.0	19.0	19.0	19.0	1.0	1.0	1.0	1.0	1.0	84.0	84.0	84.0	84.0	84.0	58.0	58.0	58.0	58.0	58.0	217.0	217.0	217.0	217.0	217.0	1.0	17.0	37.0	308.0	29429.0	14.0	18.5	23.0	29.0	35.0	61.0	7889.5	15718.0	23546.5	31375.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	37731.0	37731.0	37731.0	37731.0	37731.0	28163.0	28163.0	28163.0	28163.0	28163.0	99.0	99.0	99.0	99.0	99.0	2206.0	2206.0	2206.0	2206.0	2206.0	947.0	947.0	947.0	947.0	947.0	207.0	606.0	778.0	1871.0	9284.0	445.0	1517.5	2590.0	4044.0	5498.0	397.0	896.5	1396.0	1895.5	2395.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	104.0	104.0	104.0	104.0	104.0	20.0	20.0	20.0	20.0	20.0	18.0	18.0	18.0	18.0	18.0	68.0	68.0	68.0	68.0	68.0	40.0	40.0	40.0	40.0	40.0	1.0	5.5	19.0	55.0	193.0	1.0	4.0	7.0	23.5	40.0	59.0	72.0	85.0	98.0	111.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae	26.0	26.0	26.0	26.0	26.0	24.0	24.0	24.0	24.0	24.0	2615.0	2615.0	2615.0	2615.0	2615.0	162.0	162.0	162.0	162.0	162.0	58.0	58.0	58.0	58.0	58.0	1.0	1.0	50.0	101.0	289.0	1.0	137.5	274.0	289.0	304.0	65.0	88.25	111.5	134.75	158.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	4767.0	4767.0	4767.0	4767.0	4767.0	26125.0	26125.0	26125.0	26125.0	26125.0	85.0	85.0	85.0	85.0	85.0	37561.0	37561.0	37561.0	37561.0	37561.0	34723.0	34723.0	34723.0	34723.0	34723.0	2780.0	4038.5	7609.0	17984.0	61559.0	5076.0	12233.5	19391.0	19963.5	20536.0	977.0	6521.75	12066.5	17611.25	23156.0
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	42.0	42.0	42.0	42.0	42.0	1.0	1.0	1.0	1.0	1.0	136.0	136.0	136.0	136.0	136.0	1.0	1.0	1.0	1.0	1.0	322.0	322.0	322.0	322.0	322.0	1.0	40.0	126.0	178.0	244.0	16.0	23.0	30.0	77.0	124.0	15.0	25.0	35.0	45.0	55.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	139.5	264.0	1.0	1.0	1.0	1.0	1.0	255.0	305.25	355.5	405.75	456.0
