	W	Reject null hypothesis
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	8	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae	6	True
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	6	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae	5	True
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae	5	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae	5	True
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;	5	True
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010	5	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	5	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	4	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	3	True
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium	2	True
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	2	True
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	2	True
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	1	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chromobacteriaceae	1	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;P5D1-392	1	True
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;	1	True
Bacteria;Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae	1	True
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	1	True
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	1	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;	0	True
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	0	True
