index,Bacteria;Bacteria;Proteobacteria,Bacteria;Bacteria;Firmicutes,Bacteria;Bacteria;Bacteroidota,Bacteria;Bacteria;Deinococcota,Bacteria;Bacteria;Actinobacteriota,Bacteria;Bacteria;Campylobacterota,Bacteria;Bacteria;Fusobacteriota,Bacteria;Bacteria;Acidobacteriota,Bacteria;Bacteria;,paper_id,type,milk,loc,state,climate
Adobera_pasteurizada,9.0,3057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AP,semi-hard,Pd,Tepatitlan,Jalisco,humid subtropical
Adobera_artesanal,494.0,17702.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,AA,semi-hard,Rw,San-Miguel-el-Alto,Jalisco,humid subtropical
Zacatecas,731.0,28394.0,514.0,0.0,23.0,0.0,0.0,0.0,0.0,ZAC,semi-hard,Rw,Tequisquiapan,Queretaro,tropical and subtropical steppe
Chihuahua,133.0,54860.0,137.0,0.0,10.0,0.0,0.0,0.0,0.0,CHI,semi-soft,Pd,Ciudad-Cuauhtemoc,Chihuahua,tropical and subtropical steppe
Cincho,6209.0,26458.0,62.0,0.0,196.0,0.0,0.0,9.0,0.0,CIN,semi-hard,Rw,Veracruz,Veracruz,tropical savanna
Oaxaca,2691.0,37035.0,12.0,0.0,62.0,5.0,34.0,5.0,0.0,OAX,Semi-soft,Rw,Tulancingo,Hidalgo,marine west coast
Canasto,3160.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN,soft,Rw,Gomez-Palacio,Durango,tropical and subtropical desert
Asadero,1031.0,8667.0,56.0,2.0,20.0,0.0,0.0,0.0,0.0,ASA,Semi-soft,Rw,San-Juan-del-Rio,Queretaro,oceanic subtropical highland
Manchego,1000.0,20480.0,25.0,0.0,35.0,0.0,0.0,0.0,0.0,MAN,Semi-hard,Rw,San-Juan-del-Rio,Queretaro,oceanic subtropical highland
Adobera_mesa,31826.0,7002.0,6.0,0.0,100.0,0.0,0.0,23.0,0.0,AM,semi-hard,Rw,Manzanilla-de-la-Paz,Jalisco,humid subtropical
Cotija,9689.0,24464.0,127.0,0.0,90.0,0.0,0.0,7.0,16.0,COT,semi-hard,Rw,Concepción-de-Buenos-Aires,Jalisco,mediterranean
Panela_pasteurizado,1044.0,8669.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,PP,soft,Pd,Tepatitlan,Jalisco,humid subtropical
Panela_artesanal,17578.0,22167.0,47.0,0.0,48.0,0.0,0.0,0.0,5.0,PA,soft,Rw,Zapotlanejo,Jalisco,humid subtropical
Jocoque,1072.0,64921.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,JOC,soft,Rw,Guadalajara,Jalisco,humid subtropical
Chiapas,258.0,42820.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,CHP,soft,Rw,Pijijiapan,Chiapas,tropical savanna
Ranchero_Estado_de_Mexico,3867.0,41026.0,129.0,0.0,124.0,0.0,0.0,8.0,0.0,RED,soft,Rw,Jilotepec,EDOMEX,oceanic subtropical highland
Ranchero_Veracruz,37235.0,2082.0,14.0,0.0,22.0,3.0,0.0,20.0,0.0,REVR,soft,Rw,Tempoal,Veracruz,tropical savanna
