index,Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales,Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Bacteria;Deinococcota;Deinococci;Thermales,Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales,Bacteria;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Bacteria;Actinobacteriota;Actinobacteria;,Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales,Bacteria;Bacteria;Firmicutes;Bacilli;Paenibacillales,Bacteria;Bacteria;;;,Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,Bacteria;Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2,Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Bacteria;Firmicutes;Bacilli;Exiguobacterales,Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,paper_id,type,milk,loc,state,climate
Adobera_pasteurizada,0.0,0.0,2989.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AP,semi-hard,Pd,Tepatitlan,Jalisco,humid subtropical
Adobera_artesanal,345.0,71.0,17619.0,18.0,31.0,63.0,0.0,60.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AA,semi-hard,Rw,San-Miguel-el-Alto,Jalisco,humid subtropical
Zacatecas,173.0,454.0,26354.0,39.0,123.0,19.0,479.0,48.0,17.0,1321.0,0.0,79.0,11.0,18.0,495.0,0.0,0.0,0.0,7.0,0.0,0.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZAC,semi-hard,Rw,Tequisquiapan,Queretaro,tropical and subtropical steppe
Chihuahua,70.0,11.0,54421.0,19.0,0.0,7.0,146.0,22.0,11.0,108.0,0.0,108.0,0.0,14.0,130.0,0.0,0.0,42.0,21.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,CHI,semi-soft,Pd,Ciudad-Cuauhtemoc,Chihuahua,tropical and subtropical steppe
Cincho,5609.0,478.0,26275.0,58.0,54.0,57.0,0.0,56.0,0.0,0.0,0.0,101.0,73.0,0.0,5.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,123.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,CIN,semi-hard,Rw,Veracruz,Veracruz,tropical savanna
Oaxaca,2088.0,487.0,36208.0,39.0,321.0,12.0,6.0,0.0,61.0,9.0,0.0,178.0,12.0,0.0,0.0,5.0,34.0,300.0,0.0,0.0,0.0,13.0,36.0,14.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,OAX,Semi-soft,Rw,Tulancingo,Hidalgo,marine west coast
Canasto,2925.0,190.0,355.0,17.0,135.0,0.0,0.0,28.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN,soft,Rw,Gomez-Palacio,Durango,tropical and subtropical desert
Asadero,778.0,236.0,8600.0,6.0,15.0,56.0,0.0,0.0,11.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASA,Semi-soft,Rw,San-Juan-del-Rio,Queretaro,oceanic subtropical highland
Manchego,626.0,374.0,20371.0,0.0,29.0,14.0,18.0,0.0,0.0,21.0,0.0,39.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAN,Semi-hard,Rw,San-Juan-del-Rio,Queretaro,oceanic subtropical highland
Adobera_mesa,1533.0,29671.0,6394.0,192.0,171.0,6.0,0.0,326.0,54.0,18.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,16.0,19.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,AM,semi-hard,Rw,Manzanilla-de-la-Paz,Jalisco,humid subtropical
Cotija,8972.0,569.0,24148.0,45.0,125.0,127.0,0.0,68.0,18.0,0.0,0.0,164.0,63.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,27.0,7.0,0.0,16.0,12.0,0.0,0.0,14.0,0.0,COT,semi-hard,Rw,Concepción-de-Buenos-Aires,Jalisco,mediterranean
Panela_pasteurizado,928.0,107.0,8400.0,0.0,243.0,38.0,0.0,6.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PP,soft,Pd,Tepatitlan,Jalisco,humid subtropical
Panela_artesanal,16559.0,860.0,21792.0,63.0,183.0,47.0,5.0,66.0,18.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,9.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,PA,soft,Rw,Zapotlanejo,Jalisco,humid subtropical
Jocoque,854.0,197.0,64550.0,0.0,47.0,0.0,0.0,21.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,JOC,soft,Rw,Guadalajara,Jalisco,humid subtropical
Chiapas,99.0,18.0,42622.0,103.0,41.0,0.0,5.0,25.0,13.0,0.0,0.0,134.0,12.0,0.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHP,soft,Rw,Pijijiapan,Chiapas,tropical savanna
Ranchero_Estado_de_Mexico,3555.0,179.0,40876.0,67.0,0.0,124.0,0.0,42.0,14.0,0.0,0.0,138.0,28.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,10.0,0.0,40.0,0.0,8.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,RED,soft,Rw,Jilotepec,EDOMEX,oceanic subtropical highland
Ranchero_Veracruz,5079.0,31665.0,1553.0,110.0,14.0,14.0,22.0,306.0,43.0,12.0,0.0,473.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,0.0,20.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,REVR,soft,Rw,Tempoal,Veracruz,tropical savanna
