Group 1,Group 2,H,p-value,q-value
Ciudad-Cuauhtemoc (n=1),Concepción-de-Buenos-Aires (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Gomez-Palacio (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Guadalajara (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Jilotepec (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Manzanilla-de-la-Paz (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Pijijiapan (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),San-Juan-del-Rio (n=2),0.0,1.0,1.0
Ciudad-Cuauhtemoc (n=1),San-Miguel-el-Alto (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Tempoal (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Tepatitlan (n=2),0.0,1.0,1.0
Ciudad-Cuauhtemoc (n=1),Tequisquiapan (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Tulancingo (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Veracruz (n=1),1.0,0.31731050786291115,0.3829609577655824
Ciudad-Cuauhtemoc (n=1),Zapotlanejo (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Gomez-Palacio (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Guadalajara (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Jilotepec (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Manzanilla-de-la-Paz (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Pijijiapan (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),San-Juan-del-Rio (n=2),0.0,1.0,1.0
Concepción-de-Buenos-Aires (n=1),San-Miguel-el-Alto (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Tempoal (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Tepatitlan (n=2),1.5,0.22067136191984324,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Tequisquiapan (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Tulancingo (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Veracruz (n=1),1.0,0.31731050786291115,0.3829609577655824
Concepción-de-Buenos-Aires (n=1),Zapotlanejo (n=1),1.0,0.31731050786291115,0.3829609577655824
Gomez-Palacio (n=1),Guadalajara (n=1),1.0,0.31731050786291115,0.3829609577655824
Gomez-Palacio (n=1),Jilotepec (n=1),1.0,0.31731050786291115,0.3829609577655824
