Group 1,Group 2,H,p-value,q-value
Chiapas (n=1),Chihuahua (n=1),1.0,0.31731050786291115,0.6346210157258223
Chiapas (n=1),Durango (n=1),1.0,0.31731050786291115,0.6346210157258223
Chiapas (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.6346210157258223
Chiapas (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.6346210157258223
Chiapas (n=1),Jalisco (n=7),0.4285714285714306,0.5126907602619224,0.7970514647182682
Chiapas (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
Chiapas (n=1),Veracruz (n=2),0.0,1.0,1.0
Chihuahua (n=1),Durango (n=1),1.0,0.31731050786291115,0.6346210157258223
Chihuahua (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.6346210157258223
Chihuahua (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.6346210157258223
Chihuahua (n=1),Jalisco (n=7),0.4285714285714306,0.5126907602619224,0.7970514647182682
Chihuahua (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
Chihuahua (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.6346210157258223
Durango (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.6346210157258223
Durango (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.6346210157258223
Durango (n=1),Jalisco (n=7),1.1904761904761898,0.27523352407483126,0.6346210157258223
Durango (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
Durango (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.6346210157258223
EDOMEX (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.6346210157258223
EDOMEX (n=1),Jalisco (n=7),0.0476190476190439,0.8272593465627179,0.965135904323171
EDOMEX (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
EDOMEX (n=1),Veracruz (n=2),0.0,1.0,1.0
Hidalgo (n=1),Jalisco (n=7),0.4285714285714306,0.5126907602619224,0.7970514647182682
Hidalgo (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
Hidalgo (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.6346210157258223
Jalisco (n=7),Queretaro (n=3),0.012987012987011326,0.9092690452142275,1.0
Jalisco (n=7),Veracruz (n=2),0.3428571428571452,0.558184649422656,0.7970514647182682
Queretaro (n=3),Veracruz (n=2),0.0,1.0,1.0
