Group 1,Group 2,H,p-value,q-value
Semi-hard (n=1),Semi-soft (n=2),1.5,0.22067136191984324,0.4533007255184445
Semi-hard (n=1),semi-hard (n=6),2.25,0.13361440253771584,0.4533007255184445
Semi-hard (n=1),semi-soft (n=1),1.0,0.31731050786291115,0.4533007255184445
Semi-hard (n=1),soft (n=7),2.333333333333332,0.1266304579476157,0.4533007255184445
Semi-soft (n=2),semi-hard (n=6),0.0,1.0,1.0
Semi-soft (n=2),semi-soft (n=1),1.5,0.22067136191984324,0.4533007255184445
Semi-soft (n=2),soft (n=7),0.08571428571428541,0.7696979437812901,0.861218846884434
semi-hard (n=6),semi-soft (n=1),1.0,0.31731050786291115,0.4533007255184445
semi-hard (n=6),soft (n=7),0.08163265306122014,0.7750969621959906,0.861218846884434
semi-soft (n=1),soft (n=7),1.1904761904761898,0.27523352407483126,0.4533007255184445
