Group 1,Group 2,H,p-value,q-value
Chiapas (n=1),Chihuahua (n=1),1.0,0.31731050786291115,0.4230806771505482
Chiapas (n=1),Durango (n=1),1.0,0.31731050786291115,0.4230806771505482
Chiapas (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.4230806771505482
Chiapas (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.4230806771505482
Chiapas (n=1),Jalisco (n=7),0.0476190476190439,0.8272593465627179,0.8578985816205964
Chiapas (n=1),Queretaro (n=3),1.8000000000000007,0.17971249487899588,0.4230806771505482
Chiapas (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.4230806771505482
Chihuahua (n=1),Durango (n=1),1.0,0.31731050786291115,0.4230806771505482
Chihuahua (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.4230806771505482
Chihuahua (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.4230806771505482
Chihuahua (n=1),Jalisco (n=7),1.1904761904761898,0.27523352407483126,0.4230806771505482
Chihuahua (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7050839880200064
Chihuahua (n=1),Veracruz (n=2),0.0,1.0,1.0
Durango (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.4230806771505482
Durango (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.4230806771505482
Durango (n=1),Jalisco (n=7),1.1904761904761898,0.27523352407483126,0.4230806771505482
Durango (n=1),Queretaro (n=3),1.8000000000000007,0.17971249487899588,0.4230806771505482
Durango (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.4230806771505482
EDOMEX (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.4230806771505482
EDOMEX (n=1),Jalisco (n=7),0.4285714285714306,0.5126907602619224,0.6525155130606285
EDOMEX (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7050839880200064
EDOMEX (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.4230806771505482
Hidalgo (n=1),Jalisco (n=7),2.333333333333332,0.1266304579476157,0.4230806771505482
Hidalgo (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7050839880200064
Hidalgo (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.4230806771505482
Jalisco (n=7),Queretaro (n=3),1.0519480519480453,0.3050588592616768,0.4230806771505482
Jalisco (n=7),Veracruz (n=2),3.085714285714282,0.07898257926378266,0.4230806771505482
Queretaro (n=3),Veracruz (n=2),0.33333333333333215,0.5637028616507738,0.6862469620096376
