Group 1,Group 2,H,p-value,q-value
Semi-hard (n=1),Semi-soft (n=2),0.0,1.0,1.0
Semi-hard (n=1),semi-hard (n=6),0.25,0.6170750774519739,1.0
Semi-hard (n=1),semi-soft (n=1),1.0,0.31731050786291115,0.9784148457688826
Semi-hard (n=1),soft (n=7),0.0476190476190439,0.8272593465627179,1.0
Semi-soft (n=2),semi-hard (n=6),0.11111111111111427,0.7388826803635237,1.0
Semi-soft (n=2),semi-soft (n=1),0.0,1.0,1.0
Semi-soft (n=2),soft (n=7),1.37142857142857,0.24156658696896968,0.9784148457688826
semi-hard (n=6),semi-soft (n=1),0.0,1.0,1.0
semi-hard (n=6),soft (n=7),0.7346938775510168,0.39136593830755306,0.9784148457688826
semi-soft (n=1),soft (n=7),2.333333333333332,0.1266304579476157,0.9784148457688826
