Group 1,Group 2,H,p-value,q-value
Chiapas (n=1),Chihuahua (n=1),1.0,0.31731050786291115,0.4935941233423062
Chiapas (n=1),Durango (n=1),1.0,0.31731050786291115,0.4935941233423062
Chiapas (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.4935941233423062
Chiapas (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.4935941233423062
Chiapas (n=1),Jalisco (n=7),0.0476190476190439,0.8272593465627179,0.8578985816205964
Chiapas (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7638409870216737
Chiapas (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.4935941233423062
Chihuahua (n=1),Durango (n=1),1.0,0.31731050786291115,0.4935941233423062
Chihuahua (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.4935941233423062
Chihuahua (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.4935941233423062
Chihuahua (n=1),Jalisco (n=7),0.0476190476190439,0.8272593465627179,0.8578985816205964
Chihuahua (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7638409870216737
Chihuahua (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.4935941233423062
Durango (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.4935941233423062
Durango (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.4935941233423062
Durango (n=1),Jalisco (n=7),1.1904761904761898,0.27523352407483126,0.4935941233423062
Durango (n=1),Queretaro (n=3),1.8000000000000007,0.17971249487899588,0.4935941233423062
Durango (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.4935941233423062
EDOMEX (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.4935941233423062
EDOMEX (n=1),Jalisco (n=7),0.0476190476190439,0.8272593465627179,0.8578985816205964
EDOMEX (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7638409870216737
EDOMEX (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.4935941233423062
Hidalgo (n=1),Jalisco (n=7),0.4285714285714306,0.5126907602619224,0.7555442782807277
Hidalgo (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7638409870216737
Hidalgo (n=1),Veracruz (n=2),0.0,1.0,1.0
Jalisco (n=7),Queretaro (n=3),0.3246753246753258,0.5688114004133367,0.7638409870216737
Jalisco (n=7),Veracruz (n=2),1.7503001200480175,0.1858390075460724,0.4935941233423062
Queretaro (n=3),Veracruz (n=2),1.3333333333333321,0.2482130789899204,0.4935941233423062
