id	type	milk	loc	state	climate	observed_features
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
Adobera_pasteurizada	semi-hard	Pd	Tepatitlan	Jalisco	humid subtropical	17
Adobera_artesanal	semi-hard	Rw	San-Miguel-el-Alto	Jalisco	humid subtropical	46
Adobera_mesa	semi-hard	Rw	Manzanilla-de-la-Paz	Jalisco	humid subtropical	75
Cotija	semi-hard	Rw	Concepción-de-Buenos-Aires	Jalisco	mediterranean	76
Panela_pasteurizado	soft	Pd	Tepatitlan	Jalisco	humid subtropical	39
Panela_artesanal	soft	Rw	Zapotlanejo	Jalisco	humid subtropical	65
Jocoque	soft	Rw	Guadalajara	Jalisco	humid subtropical	69
Chiapas	soft	Rw	Pijijiapan	Chiapas	tropical savanna	64
Ranchero_Estado_de_Mexico	soft	Rw	Jilotepec	EDOMEX	oceanic subtropical highland	68
Ranchero_Veracruz	soft	Rw	Tempoal	Veracruz	tropical savanna	69
Zacatecas	semi-hard	Rw	Tequisquiapan	Queretaro	tropical and subtropical steppe	88
Chihuahua	semi-soft	Pd	Ciudad-Cuauhtemoc	Chihuahua	tropical and subtropical steppe	60
Cincho	semi-hard	Rw	Veracruz	Veracruz	tropical savanna	90
Oaxaca	Semi-soft	Rw	Tulancingo	Hidalgo	marine west coast	73
Canasto	soft	Rw	Gomez-Palacio	Durango	tropical and subtropical desert	26
Asadero	Semi-soft	Rw	San-Juan-del-Rio	Queretaro	oceanic subtropical highland	49
Manchego	Semi-hard	Rw	San-Juan-del-Rio	Queretaro	oceanic subtropical highland	55
