Group 1,Group 2,H,p-value,q-value
Chiapas (n=1),Chihuahua (n=1),1.0,0.31731050786291115,0.7403911850134594
Chiapas (n=1),Durango (n=1),1.0,0.31731050786291115,0.7403911850134594
Chiapas (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.7403911850134594
Chiapas (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.7403911850134594
Chiapas (n=1),Jalisco (n=7),0.4285714285714306,0.5126907602619224,0.7970514647182682
Chiapas (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
Chiapas (n=1),Veracruz (n=2),0.0,1.0,1.0
Chihuahua (n=1),Durango (n=1),1.0,0.31731050786291115,0.7403911850134594
Chihuahua (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.7403911850134594
Chihuahua (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.7403911850134594
Chihuahua (n=1),Jalisco (n=7),0.4285714285714306,0.5126907602619224,0.7970514647182682
Chihuahua (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
Chihuahua (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.7403911850134594
Durango (n=1),EDOMEX (n=1),1.0,0.31731050786291115,0.7403911850134594
Durango (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.7403911850134594
Durango (n=1),Jalisco (n=7),0.0476190476190439,0.8272593465627179,0.9265304681502441
Durango (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
Durango (n=1),Veracruz (n=2),0.0,1.0,1.0
EDOMEX (n=1),Hidalgo (n=1),1.0,0.31731050786291115,0.7403911850134594
EDOMEX (n=1),Jalisco (n=7),0.0476190476190439,0.8272593465627179,0.9265304681502441
EDOMEX (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
EDOMEX (n=1),Veracruz (n=2),0.0,1.0,1.0
Hidalgo (n=1),Jalisco (n=7),0.4285714285714306,0.5126907602619224,0.7970514647182682
Hidalgo (n=1),Queretaro (n=3),0.1999999999999993,0.6547208460185774,0.7970514647182682
Hidalgo (n=1),Veracruz (n=2),1.5,0.22067136191984324,0.7403911850134594
Jalisco (n=7),Queretaro (n=3),0.3246753246753258,0.5688114004133367,0.7970514647182682
Jalisco (n=7),Veracruz (n=2),0.7714285714285687,0.37977547484094987,0.7970514647182682
Queretaro (n=3),Veracruz (n=2),0.33333333333333215,0.5637028616507738,0.7970514647182682
