Group 1,Group 2,H,p-value,q-value
Semi-hard (n=1),Semi-soft (n=2),1.5,0.22067136191984324,0.3966381348286389
Semi-hard (n=1),semi-hard (n=6),1.0,0.31731050786291115,0.3966381348286389
Semi-hard (n=1),semi-soft (n=1),1.0,0.31731050786291115,0.3966381348286389
Semi-hard (n=1),soft (n=7),2.333333333333332,0.1266304579476157,0.3966381348286389
Semi-soft (n=2),semi-hard (n=6),0.0,1.0,1.0
Semi-soft (n=2),semi-soft (n=1),1.5,0.22067136191984324,0.3966381348286389
Semi-soft (n=2),soft (n=7),0.08571428571428541,0.7696979437812901,0.8552199375347668
semi-hard (n=6),semi-soft (n=1),1.0,0.31731050786291115,0.3966381348286389
semi-hard (n=6),soft (n=7),1.3061224489795933,0.25309790894711204,0.3966381348286389
semi-soft (n=1),soft (n=7),1.1904761904761898,0.27523352407483126,0.3966381348286389
