	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Panela_pasteurizado	Adobera_pasteurizada	Pd	Pd	0.7018917155903457
1	Chihuahua	Adobera_pasteurizada	Pd	Pd	0.6288323548597521
2	Chihuahua	Panela_pasteurizado	Pd	Pd	0.5991519895629485
3	Adobera_pasteurizada	Adobera_artesanal	Pd	Rw	0.7579908675799086
4	Adobera_pasteurizada	Adobera_mesa	Pd	Rw	0.9015003261578604
5	Adobera_pasteurizada	Cotija	Pd	Rw	0.8988910632746249
6	Adobera_pasteurizada	Panela_artesanal	Pd	Rw	0.855512067840835
7	Adobera_pasteurizada	Jocoque	Pd	Rw	0.8313763861709067
8	Adobera_pasteurizada	Chiapas	Pd	Rw	0.9458577951728636
9	Adobera_pasteurizada	Ranchero_Estado_de_Mexico	Pd	Rw	0.7619047619047619
10	Adobera_pasteurizada	Ranchero_Veracruz	Pd	Rw	0.9719504240052185
11	Adobera_pasteurizada	Zacatecas	Pd	Rw	0.49510763209393344
12	Adobera_pasteurizada	Cincho	Pd	Rw	0.8362687540769732
13	Adobera_pasteurizada	Oaxaca	Pd	Rw	0.8486627527723418
14	Adobera_pasteurizada	Canasto	Pd	Rw	0.9540117416829745
15	Adobera_pasteurizada	Asadero	Pd	Rw	0.7837573385518591
16	Adobera_pasteurizada	Manchego	Pd	Rw	0.8493150684931506
17	Panela_pasteurizado	Adobera_artesanal	Pd	Rw	0.7031963470319634
18	Panela_pasteurizado	Adobera_mesa	Pd	Rw	0.8956294846705806
19	Panela_pasteurizado	Cotija	Pd	Rw	0.8767123287671232
20	Panela_pasteurizado	Panela_artesanal	Pd	Rw	0.6686236138290933
21	Panela_pasteurizado	Jocoque	Pd	Rw	0.3943248532289628
22	Panela_pasteurizado	Chiapas	Pd	Rw	0.9096542726679713
23	Panela_pasteurizado	Ranchero_Estado_de_Mexico	Pd	Rw	0.42596216568819306
24	Panela_pasteurizado	Ranchero_Veracruz	Pd	Rw	0.9631441617742987
25	Panela_pasteurizado	Zacatecas	Pd	Rw	0.5035877364644488
26	Panela_pasteurizado	Cincho	Pd	Rw	0.7984344422700587
27	Panela_pasteurizado	Oaxaca	Pd	Rw	0.8013698630136986
