	SubjectID1	SubjectID2	Group1	Group2	Distance
0	Panela_pasteurizado	Adobera_pasteurizada	Pd	Pd	0.5445987794190232
1	Chihuahua	Adobera_pasteurizada	Pd	Pd	0.613975918122381
2	Chihuahua	Panela_pasteurizado	Pd	Pd	0.5764470660623343
3	Adobera_pasteurizada	Adobera_artesanal	Pd	Rw	0.5439047104371644
4	Adobera_pasteurizada	Adobera_mesa	Pd	Rw	0.6284052667874198
5	Adobera_pasteurizada	Cotija	Pd	Rw	0.6812971743073535
6	Adobera_pasteurizada	Panela_artesanal	Pd	Rw	0.646830356306414
7	Adobera_pasteurizada	Jocoque	Pd	Rw	0.6248123740628435
8	Adobera_pasteurizada	Chiapas	Pd	Rw	0.5685514142060795
9	Adobera_pasteurizada	Ranchero_Estado_de_Mexico	Pd	Rw	0.6334901572245522
10	Adobera_pasteurizada	Ranchero_Veracruz	Pd	Rw	0.658038007617131
11	Adobera_pasteurizada	Zacatecas	Pd	Rw	0.7195957118632287
12	Adobera_pasteurizada	Cincho	Pd	Rw	0.6785419676779485
13	Adobera_pasteurizada	Oaxaca	Pd	Rw	0.7025795296277763
14	Adobera_pasteurizada	Canasto	Pd	Rw	0.5224620189260841
15	Adobera_pasteurizada	Asadero	Pd	Rw	0.5606775539362128
16	Adobera_pasteurizada	Manchego	Pd	Rw	0.6677626739369132
17	Panela_pasteurizado	Adobera_artesanal	Pd	Rw	0.3325361957768082
18	Panela_pasteurizado	Adobera_mesa	Pd	Rw	0.435521849361925
19	Panela_pasteurizado	Cotija	Pd	Rw	0.4848535086005123
20	Panela_pasteurizado	Panela_artesanal	Pd	Rw	0.4036821106930763
21	Panela_pasteurizado	Jocoque	Pd	Rw	0.4232522285388087
22	Panela_pasteurizado	Chiapas	Pd	Rw	0.4971496952291515
23	Panela_pasteurizado	Ranchero_Estado_de_Mexico	Pd	Rw	0.45615890660764263
24	Panela_pasteurizado	Ranchero_Veracruz	Pd	Rw	0.5077063964162035
25	Panela_pasteurizado	Zacatecas	Pd	Rw	0.6011908740733859
26	Panela_pasteurizado	Cincho	Pd	Rw	0.5444546815341369
27	Panela_pasteurizado	Oaxaca	Pd	Rw	0.5726808828342178
